,name,chan_no,distance,variable,interval,period_op,file
54,MDM2,144,1065,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
55,MDM2,144,1065,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
56,MHO,128,8341,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
57,MHO,128,8341,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
58,MHR-131,131,0,flow,15MIN,inst,./output/FPV2Mb_SDG.dss
59,MHR-131,131,0,stage,15MIN,inst,./output/FPV2Mb_SDG.dss
60,MID_gate_down,134,200,flow,15MIN,inst,./output/FPV2Mb_SDG.dss
61,MID_gate_down,134,200,stage,15MIN,inst,./output/FPV2Mb_SDG.dss
62,MID_gate_down,134,20,vel,15MIN,inst,./output/FPV2Mb_SDG.dss
63,MID_gate_up,133,6600,flow,15MIN,inst,./output/FPV2Mb_SDG.dss
64,MID_gate_up,133,6600,stage,15MIN,inst,./output/FPV2Mb_SDG.dss
65,MID_gate_up,133,6780,vel,15MIN,inst,./output/FPV2Mb_SDG.dss
66,MRMOW,126,3088,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
67,MRMOW,126,3088,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
68,MRU,126,2688,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
69,MRU,126,2688,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
70,MRZ,441,length,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
71,MRZ,441,length,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
72,MSD,6,3184,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
73,MSD,6,3184,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
74,MTB,133,3316,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
75,MTB,133,3316,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
76,MUP,135,800,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
77,MUP,135,800,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
78,OAD,79,3457,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
79,OAD,79,3457,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
80,OBD,80,1573,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
81,OBD,80,1573,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
82,OBI,106,1603,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
83,OBI,106,1603,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
84,ODM,79,3422,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
85,ODM,80,1573,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
86,OH1,54,353,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
87,OH1,54,353,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
88,OH1-54,54,735,flow,15MIN,inst,./output/FPV2Mb_SDG.dss
89,OH1-54,54,735,stage,15MIN,inst,./output/FPV2Mb_SDG.dss
90,OH4,90,2125,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
91,OH4,90,2125,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
92,OLD,71,2042,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
93,OLD,71,1285,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
94,OLD-71,71,3116,flow,15MIN,inst,./output/FPV2Mb_SDG.dss
95,OLD-71,71,3116,stage,15MIN,inst,./output/FPV2Mb_SDG.dss
96,OLDD,76,305,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
97,OLDU,74,1685,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
98,OLD_gate_down,80,200,flow,15MIN,inst,./output/FPV2Mb_SDG.dss
99,OLD_gate_down,80,200,stage,15MIN,inst,./output/FPV2Mb_SDG.dss
100,OLD_gate_down,80,20,vel,15MIN,inst,./output/FPV2Mb_SDG.dss
101,OLD_gate_up,79,3200,flow,15MIN,inst,./output/FPV2Mb_SDG.dss
102,OLD_gate_up,79,3200,stage,15MIN,inst,./output/FPV2Mb_SDG.dss
103,OLD_gate_up,79,3440,vel,15MIN,inst,./output/FPV2Mb_SDG.dss
104,ORI,82,1905,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
105,ORI,82,1905,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
106,ORM,77,4706,flow,15MIN,inst,./output/FPV2Mb_SDG.dss
107,ORM,77,4706,stage,15MIN,inst,./output/FPV2Mb_SDG.dss
108,ORX,60,4545,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
109,ORX,60,4545,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
110,OSJ,124,2000,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
111,OSJ,124,2000,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
112,PDC,819,1500,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
113,PDC,819,1500,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
114,PDUP,813,680,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
115,PDUP,813,680,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
116,PDV,5,0,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
117,PDV,5,0,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
118,PDW,195,0,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
119,PDW,195,0,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
120,RVB,430,8118,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
121,RVB,430,8118,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
122,RYF,398,14726,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
123,RYF,398,14726,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
124,SGA,183,662,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
125,SGA,183,662,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
126,SJD,8,10176,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
127,SJD,8,10176,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
128,SJG,14,2722,flow,15MIN,inst,./output/FPV2Mb_hydro.dss
129,SJG,14,2722,stage,15MIN,inst,./output/FPV2Mb_hydro.dss
